"name,""barcode"",""price""";
"ACEITE OLIVA SABOR INTENSO TAPON VERDE ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000046406"",""2.7""";
"ACEITE OLIVA SABOR SUAVE TAPON ROJO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000042408"",""2.7""";
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000047403"",""3.5""";
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, GARRAFA 3 L,""08480000047175"",""9.97""";
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***SUJETO A DISPONIBILIDAD*** ***BAJADA PVP PENINSULA Y BALEARES***, EMINENTE, GARRAFA 5 L,""08422881001495"",""14.95""";
"ACEITE OLIVA VIRGEN TAPON VERDE OSCURO, HACENDADO, BOTELLA 1 L,""08480000047496"",""3.2""";
"BEBIDA ESPIRITUOSA CENTENARIO, TERRY, BOTELLA 1 L,""08410162011127"",""8.9""";
"MERLUZA CONGELADA NEGRA FILETE SIN PIEL ***BAJADA PVP***, MASCATO, PAQUETE 970 G PESO NETO ESCURRIDO,""08435035302577"",""5.95""";
"POSTRE SOJA NATURAL CON COCO ***BAJADA PVP CANARIAS***, ALPRO, U - 500 G,""05411188119098"",""1.79""";
"POSTRE SOJA VAINILLA ***BAJADA PVP CANARIAS***, ALPRO, PACK 4 X 125 G - 500 G,""05411188094111"",""1.79""";
"POSTRE SOJA 2 CON MELOCOTON Y 2 PIÑA-FRUTA DE LA PASION ***BAJADA PVP CANARIAS***, ALPRO, PACK 4 X 125 G - 500 G,""05411188113416"",""1.79""";
"VINO TINTO GRAN SELECCION ***BAJADA PVP***, ARMONICO, BOTELLA 750 CC,""08436033846100"",""2.19""";
"ALMEJA BLANCA DEL NORTE ***NOVEDAD***, HACENDADO, LATA 185 G ESCURRIDO 90 G,""08480000185792"",""1.50""";
"ALTRAMUCES ***NOVEDAD***, DORISOL, BOLSA PACK 3 X 165 G U - 495 G ESCURRIDO 285 G,""08413295801221"",""1.00""";
"APERITIVO SNACK DE ALGAS CON ARROZ CRUJIENTE ***NOVEDAD***, HACENDADO, PAQUETE 20 G,""08480000331380"",""1.50""";
"APERITIVO SNACK DE ALGAS CON SESAMO ***NOVEDAD***, HACENDADO, PAQUETE 30 G,""08480000331403"",""1.50""";
"BATIDO SABOR CHOCOLATE + PROTEINAS ***NOVEDAD***, HACENDADO, BRICK 330 CC,""08480000106704"",""1.20""";
"BATIDO SABOR VAINILLA + PROTEINAS ***NOVEDAD***, HACENDADO, BRICK 330 CC,""08480000166715"",""1.20""";
"BEBIDA ISOTONICA SOLUBLE SABOR LIMON PARA DEPORTISTAS ***NOVEDAD***, ENERVITSPORT, BOTE 420 G,""08007640982248"",""4.95""";
"BIZCOCHO CHOCOLATE SIN GLUTEN INDUSTRIAL ***NOVEDAD***, HACENDADO, 1 U - 350 G,""08480000827821"",""3.80""";
"CAFE CAPSULA CAFE CON LECHE (COMPATIBLE CAFETERA DOLCE GUSTO*(MARCA DE GRUPO SOCIETE DES PRODUITS NESTLE,SA. NO RELACIONADA CON COCATECH,SL)), COCATECH, PAQUETE 16 U,""08437014735079"",""3.40""";
"CAFE CAPSULA CAFE CON LECHE DESCAFEINADO(COMPATIBLE CAFETERA DOLCE GUSTO*(MARCA GRUPO SOCIETE DES PRODUITS NESTLE, SA.NO RELACIONADA CON COCATEC SL), COCATECH, PAQUETE 16 U,""08437014735093"",""3.40""";
"CAFE CAPSULA CORTADO (COMPATIBLE CAFETERA DOLCE GUSTO*(MARCA DE GRUPO SOCIETE DES PRODUITS NESTLE, SA. NO RELACIONADA CON COCATECH,SL.)), COCATECH, PAQUETE 16 U,""08437014735086"",""3.40""";
"CAFE CAPSULA CORTADO DESCAFEINADO(COMPATIBLE CAFETERA DOLCE GUSTO*(MARCA DE GRUPO SOCIETE DES PRODUITS NESTLE,SA NO RELACIONADA CON COCATECH,SL), COCATECH, PAQUETE 16 U,""08437014735109"",""3.40""";
"CAFE CAPSULA RISTRETTO NAPOLI (COMPATIBLE CAFETERA DOLCE GUSTO) ***NOVEDAD***, DOLCE GUSTO, CAJA 16 U - 128 G,""07613036562874"",""4.25""";
"CERDO LAGARTO BLANCO FILETES FRESCO ***NOVEDAD***, , BANDEJA 500 G APROX(PESO APROXIMADO DE LA UNIDAD 500 GR),""08421384106355"",""3.45""";
"CERDO SOLOMILLO ABIERTO FRESCO ***NOVEDAD***, , BANDEJA 500 G APROX(PESO APROXIMADO DE LA UNIDAD 500 GR),""08421384106331"",""4.22""";
"CERVEZA ABADÍA TOSTADA ***NOVEDAD***, HELECINE, BOTELLIN 330 CC,""05412652000225"",""1.15""";
"CERVEZA BLANCA TRIGO SUAVE ***NOVEDAD***, 1897, BOTELLIN PACK 4 X 330 CC - 1320 CC,""08480000668974"",""4.60""";
"CERVEZA FUERTE SALVATOR ***NOVEDAD***, PAULANER, BOTELLIN 330 CC,""04066600611349"",""1.20""";
"CERVEZA GRAN RESERVA GRAND CRU ***NOVEDAD***, 1897, BOTELLIN 330 CC,""08480000668455"",""1.60""";
"CERVEZA LEY PUREZA ***NOVEDAD***, KROMBACHER, BARRIL 5 L,""04008287032031"",""12.00""";
"CERVEZA PALE ALE ***NOVEDAD***, MARSTON`S, BOTELLA 500 CC,""05011348018713"",""1.60""";
"CERVEZA RADLER CON ZUMO NATURAL DE LIMON ***NOVEDAD***, STEINBURG, BOTELLA PET 1 L,""08480000667632"",""1.0""";
"CERVEZA RUBIA SIN ALCOHOL ***NOVEDAD***, STEINBURG, BOTELLA 1 L,""08480000667588"",""0.8""";
"CERVEZA RUBIA SUAVE ***NOVEDAD***, STEINBURG, BOTELLA 1 L,""08480000667854"",""0.6""";
"CERVEZA TRIGO BLANCA SABOR CEREZA ***NOVEDAD***, CHERIE, BOTELLIN 330 CC,""05412652001000"",""1.60""";
"CERVEZA TRIGO BLANCO SIN ALCOHOL 0% ***NOVEDAD***, BAVARIA, BOTELLIN 330 CC,""08714800022460"",""0.95""";
"CERVEZA TRIGO TOSTADO DUNKEL ***NOVEDAD***, PAULANER, BOTELLIN 500 CC,""04066600941972"",""1.50""";
"COLORANTE ALIMENTARIO GEL (4 COLORES PARA MASAS Y TOPPINGS), HACENDADO, CAJA 4 U - 40 G,""08480000323576"",""2.25""";
"CREPES RELLENOS DE CHOCOLATE BELGA CONGELADOS ***NOVEDAD***, HACENDADO, CAJA 6 U - 540 G,""08480000634955"",""2.98""";
"DELICIAS FIAMBRE DE POLLO Y QUESO ***NOVEDAD***, PINCHOS JOVI, BANDEJA 8 U - 290 G,""02105100043556"",""2.50""";
"HELADO TARRINA POLVITO ***NOVEDAD***, HACENDADO, TARRINA 10 RACIONES - 1 L,""08480000645081"",""2.5""";
"INFUSION FRUTOS ROJOS (BOLSITAS PIRAMIDALES) ***NOVEDAD***, HACENDADO, CAJA 20 BOLSITAS - 40 G,""08480000114044"",""1.70""";
"JAMON COCIDO EXTRA LONCHAS (RECETA ORIGINAL 1940) ***NOVEDAD***, NOEL, TARRINA 120 G,""08410783333417"",""2.25""";
"LECHE ENTERA ***NOVEDAD***, HACENDADO, MINIBRICK 6 X 200 CC - 1200 CC,""08480000107831"",""1.35""";
"LECHE SEMIDESNATADA ***NOVEDAD***, HACENDADO, MINIBRICK 6 X 200 CC - 1200 CC,""08480000107947"",""1.35""";
"MERMELADA NARANJA ***NOVEDAD***, HACENDADO, TARRO 440 G,""08480000151070"",""1.40""";
"MIEL MIL FLORES CREMOSA ***NOVEDAD***, HACENDADO, TARRO 450 G,""08480000154453"",""3.25""";
"NUGGETS PAVO CONGELADO ***NOVEDAD***, HACENDADO, PAQUETE 400 G,""08480000630070"",""2.60""";
"PALETA CURADA LONCHAS ***NOVEDAD***, MARPA, PACK 2 X 120 G - 240 G,""08437003894275"",""3.14""";
"PAN TOSTADO CON AVENA ***NOVEDAD***, FAZER, PAQUETE 180 G,""06413467357817"",""1.55""";
"PATATAS FRITAS ONDULADAS BOLETUS ***NOVEDAD***, HACENDADO, PAQUETE 150 G,""08480000336170"",""1.15""";
"PEPINILLO EN VINAGRE ***NOVEDAD***, HENGSTENBERG, TARRO 670 G. ESCURRIDO 360 G,""00000040081410"",""2.50""";
"PICATOSTES SABOR QUESO, HACENDADO, PAQUETE 100 G,""08480000826831"",""0.75""";
"PIÑA DESHIDRATADA 100 % NATURAL ***NOVEDAD***, HACENDADO, PAQUETE 50 G,""08480000334404"",""1.00""";
"POLLO CAMPO JAMONCITO FRESCO ***NOVEDAD***, , BANDEJA 800 G APROX(PESO APROXIMADO DE LA UNIDAD 800 GR),""08480000254610"",""4.12""";
"POLLO CAMPO PECHUGA ENTERA SIN HUESO FRESCO ***NOVEDAD***, , BANDEJA 2 U - 600 G APROX(PESO APROXIMADO DE LA UNIDAD 600 GR),""08412610037628"",""4.77""";
"PREPARADO PANCAKES EN POLVO ***NOVEDAD***, HACENDADO, BOTELLA 220 G,""08480000325280"",""1.50""";
"ROSADA CONGELADA ESCALOPINES SIN PIEL, MASCATO, PAQUETE 500 G PESO NETO ESCURRIDO,""08435035302812"",""6.95""";
"SALMON NORUEGO CONGELADO LOMOS ***NOVEDAD***, LEROY, PAQUETE 2 U X 125 G - 250 G,""07033352525702"",""4.89""";
"SALSA SOJA (PARA SUSHI) ***NOVEDAD***, LEROY, PAQUETE 4 MONODOSIS - 26 G,""08436550541557"",""0.90""";
"SALSA TRUFAS ***NOVEDAD***, , TARRO 80 G,""08020950004011"",""2.95""";
"SARDINA FILETE AHUMADA ***NOVEDAD***, HACENDADO, TARRINA 85 G ESCURRIDO 65 G,""08480000184368"",""1.95""";
"SUSHI ALGAS WAKAME ***NOVEDAD***, OMAKASE, BANDEJA 80 G,""08410063082530"",""3.10""";
"SUSHI BOWL CON PESCADO CRUDO (ENSALADA ARROZ, SALMÓN, PEPINO Y SALSA SUSHI) ***NOVEDAD***, OMAKASE, BANDEJA 200 G,""08410063082592"",""3.95""";
"SUSHI ENSALADA ALGA WAKAME CON SALMÓN ***NOVEDAD***, OMAKASE, BANDEJA 160 G,""08410063082608"",""4.50""";
"SUSHI GYOZAS CON PESCADO CRUDO (GAMBAS Y VERDURAS) ***NOVEDAD***, OMAKASE, BANDEJA 4 U - 80 G,""08410063082547"",""3.75""";
"SUSHI KIT (PALILLOS, SALSA WASABI, SALSA DE SOJA Y BANDEJA PARA SALSA) *NOVEDAD*, LEROY, U,""08436550541465"",""1.0""";
"SUSHI MAKIS SALMON CON PESCADO CRUDO ***NOVEDAD***, OMAKASE, BANDEJA 8 U - 100 G,""08410063082653"",""4.25""";
"SUSHI MAKIS SURTIDO VEGANO ***NOVEDAD***, OMAKASE, BANDEJA 8 U - 135 G,""08410063082639"",""4.50""";
"SUSHI NIGUIRIS LANGOSTINO COCIDO ***NOVEDAD***, OMAKASE, BANDEJA 4 U - 110 G,""08410063082578"",""3.75""";
"SUSHI NIGUIRIS SALMON CON PESCADO CRUDO ***NOVEDAD***, OMAKASE, BANDEJA 4 U - 110 G,""08410063082509"",""3.75""";
"SUSHI NIGUIRIS SURTIDO CON PESCADO CRUDO (2 SALMON, 2 ATUN Y 2 LANGOSTINO) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 165 G,""08410063082516"",""4.75""";
"SUSHI ROLL CRUNCH CON PESCADO COCIDO (SURIMI, PEPINO, CREMA QUESO Y CEBOLLA) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 115 G,""08410063082462"",""3.95""";
